,title,OP,desc,date,url
36,Vinosiny's family to take legal action against UUM - Malaysiakini,0,Their lawyer says they will claim damages.,2022-05-31T12:52:23Z,https://www.malaysiakini.com/news/623112
96,Stock Market LIVE Updates: Sensex and Nifty50 likely to open lower today ahead of GDP data — track SGX futures - CNBCTV18,0,"Stock Market LIVE Updates: Indian equity benchmarks BSE Sensex and NSE Nifty50 started Tuesday's session in the red, retreating from nearly one-month highs, as Dalal Street tracked a lacklustre trend across Asia following a holiday on Wall Street. Financial a…",2022-05-31T10:28:57Z,https://www.cnbctv18.com/market/stocks/stock-market-news-live-updates-sgx-nifty50-bse-sensex-sun-pharma-irctc-lic-gdp-data-covid-brent-crude-bitcoin-gold-rate-13666092.htm
37,"Online fraud: How EFCC, INTERPOL bursted three Nigerian scammers in ‘Operation Killer Bee’ - Nairametrics",0,The Economic and Financial Crimes Commission (EFCC) has announced the arrest of three suspected Nigerian scammers. They were arrested in,2022-05-31T12:46:29Z,https://nairametrics.com/2022/05/31/online-fraud-how-efcc-interpol-bursted-three-nigerian-scammers-in-operation-killer-bee/
51,"Webb telescope to explore two rocky, Earths-like planets - Gadgets Now",0,"Nasa's much celebrated James Webb Space Telescope is just weeks away from full operation.The huge telescope plans to start it's in-depth science investigation by exploring strange, new rocky worlds in unprecedented detail.According to Nasa, it will study two …",2022-05-31T12:21:00Z,https://www.gadgetsnow.com/tech-news/webb-telescope-to-explore-two-rocky-earths-like-planets/articleshow/91919105.cms
8,Johnny Depp-Amber Heard Case: When Is The Verdict Expected? - NDTV,0,Johnny Depp and Amber Heard have sued each other and are seeking millions in damages. The jury is currently deliberating.,2022-05-31T14:01:52Z,https://www.ndtv.com/world-news/johnny-depp-amber-heard-case-when-is-the-verdict-expected-3026490
33,Kim Kardashian sparks break up rumours with Pete Davidson - Geo News,0,"Kim Kardashian said, “Bad News-Nothing lasts forever, Good News- Nothing lasts forever.”",2022-05-31T13:00:00Z,https://www.geo.tv/latest/420059-kim-kardashian-sparks-break-up-rumours-with-pete-davidson
31,Sonos Ray soundbar review: the cheaper compact TV audio upgrade - The Guardian,0,"Smaller all-in-one wifi speaker packs the best of Sonos for powerful movies, music and multiroom audio – at a lower price",2022-05-31T13:01:00Z,https://amp.theguardian.com/technology/2022/may/31/sonos-ray-soundbar-review-the-cheaper-compact-tv-audio-upgrade
73,Singer Sidhu Moose Wala's Father's Moving Gesture After Cremation - NDTV,0,"The inconsolable parents of Punjabi singer Sidhu Moose Wala showed exemplary courage as thousands of people paid their last respects to the couple's only child, who was murdered on Sunday.",2022-05-31T11:06:51Z,https://www.ndtv.com/india-news/singer-sidhu-moose-walas-fathers-tragic-gesture-after-cremation-3025705
4,In Situ TEM Shows Why Polymer Nanocapsules Deform - AZoNano,2,The analysis of buckling and collapse of nanocapsules employs real-time Transmission Electron Microscopy (TEM) in a recent study.,2022-05-31T14:13:00Z,https://www.azonano.com/news.aspx?newsID=39207
59,Johnny Depp surprises fans at concert while jury deliberates in defamation trial - CBS News,0,Jurors started deliberations​ Friday in Depp's high-profile defamation lawsuit against ex-wife Amber Heard.,2022-05-31T11:58:00Z,https://www.cbsnews.com/news/johnny-depp-jeff-beck-concert-amber-heard-trial-jury-deliberations/
0,"Stocks Fall, Oil Prices Gain as EU Commits to Partial Russian Crude Ban - The Wall Street Journal",0,"Dow, S&P 500 open lower on the last day of a volatile trading month",2022-05-31T14:32:00Z,https://www.wsj.com/articles/global-stocks-markets-dow-update-05-31-2022-11653982716
86,The suburbs where unit prices are decreasing amid Brisbane's housing crisis - 9News,0,"<p>As housing prices reach record highs in south-east <a href=""http://9news.com.au/queensland"" title=""Queensland"" target="""" rel="""">Queensland</a>, new data shows units in some Brisbane suburbs are actually getting cheaper. </p>",2022-05-31T10:52:37Z,https://www.9news.com.au/national/queensland-the-suburbs-where-unit-prices-are-decreasing-amid-brisbanes-housing-crisis/d3806afc-db83-471b-a9f4-cad85dd934a4
48,Biden to meet Fed chair as inflation bites pocketbooks - The Associated Press,0,WASHINGTON (AP) — President Joe Biden is set to meet with Federal Reserve Chairman Jerome Powell as soaring inflation takes a bite out of Americans' pocketbooks. The meeting Tuesday will be the first since Biden renominated Powell to lead the central bank and…,2022-05-31T12:23:23Z,https://apnews.com/article/biden-jerome-powell-government-and-politics-economy-2b9295779a17e425d0d8da6f0f82176e
98,Avon and Somerset only police force meeting 999 call-answering targets - BBC,0,Avon and Somerset Police is meeting the target to answer 90% of 999 calls in less than 10 seconds.,2022-05-31T10:26:30Z,https://www.bbc.co.uk/news/uk-england-bristol-61645151
